"","YEAR","AGE","WT","Selectivity","MAT"
"125",1986,3,47.1491379310345,0.680438966202417,0.0337301194328506
"178",1986,4,114.469841269841,0.970555435345396,0.396876736335151
"231",1986,5,176.498147385755,1,0.925398254670698
"284",1986,6,225.356808510638,0.998876430338692,0.99574169388094
"337",1986,7,255.202016806723,0.994308706312226,0.999773190340238
"390",1986,8,286.611074918567,0.989779188442215,0.999987965592637
"443",1986,9,310.229090909091,0.984435397180475,0.99999936159022
"496",1986,10,321.655056179775,0.981641822343365,0.99999996613355
"549",1986,11,356.254347826087,0.977917776089273,0.999999998203449
"602",1986,12,376.545454545455,0.972743321725408,0.999999999904696
"20",1987,1,0,1.92932395505511e-10,0
"73",1987,2,18.1721854304636,0.0691450214923639,0.000568284305797115
"126",1987,3,50.1520955574183,0.831646052252496,0.0133990422045247
"179",1987,4,103.871813832101,1,0.244928783111125
"232",1987,5,156.263198403649,0.991028433973029,0.885683957348826
"285",1987,6,211.691599642538,0.980391671781258,0.994625127787499
"338",1987,7,249.696827262045,0.969525445511519,0.99977380094755
"391",1987,8,272.942567567568,0.962868815240668,0.999990527486596
"444",1987,9,300.413125,0.957591196580901,0.999999603402947
"497",1987,10,321.842857142857,0.953240604623937,0.999999983395341
"550",1987,11,331.963636363636,0.950146816056555,0.999999999304799
"603",1987,12,341.019047619048,0.948009040477471,0.999999999970894
"21",1988,1,0,1.92595440497715e-10,0
"74",1988,2,13.4902097902098,0.0321968435119627,0.000672746127274037
"127",1988,3,32.9451168614357,0.342139494810379,0.00954696054587639
"180",1988,4,94.3444723618091,1,0.121275172228276
"233",1988,5,143.434583333333,0.967317008771015,0.663988680117017
"286",1988,6,195.249139280125,0.945663583812163,0.965863330518281
"339",1988,7,251.937042682927,0.929524756125105,0.997537665738239
"392",1988,8,287.511375661376,0.921346984205179,0.99982763262163
"445",1988,9,307.737566137566,0.917238260912091,0.999987959709989
"498",1988,10,316.709411764706,0.914411853621175,0.999999159081228
"551",1988,11,338.847619047619,0.912167275725248,0.999999941269104
"604",1988,12,380.157142857143,0.909718390904261,0.999999995898158
